"lon","lat","group","income","geoid","inc_level"
-122.719355870343,45.5072085529994,110,51324,"14000US41051001201","low"
-122.719360869646,45.507088552707,110,51324,"14000US41051001201","low"
-122.719368868807,45.5068775528493,110,51324,"14000US41051001201","low"
-122.719349857763,45.5049345524859,110,51324,"14000US41051001201","low"
-122.712981845114,45.5047785751834,110,51324,"14000US41051001201","low"
-122.713214831096,45.5021755738809,110,51324,"14000US41051001201","low"
-122.713292830978,45.5020975735079,110,51324,"14000US41051001201","low"
-122.713604829914,45.5018645722272,110,51324,"14000US41051001201","low"
-122.713991828708,45.5015905708838,110,51324,"14000US41051001201","low"
-122.714180828566,45.5014845701011,110,51324,"14000US41051001201","low"
-122.714730827758,45.5010765677047,110,51324,"14000US41051001201","low"
-122.714881826732,45.5009595673961,110,51324,"14000US41051001201","low"
-122.715008827251,45.5008785675469,110,51324,"14000US41051001201","low"
-122.716259825978,45.5002145628238,110,51324,"14000US41051001201","low"
-122.716395826198,45.5001635623645,110,51324,"14000US41051001201","low"
-122.716838826284,45.500033560802,110,51324,"14000US41051001201","low"
-122.71706582648,45.5000525594419,110,51324,"14000US41051001201","low"
-122.717584828721,45.500290558231,110,51324,"14000US41051001201","low"
-122.717674829213,45.5003375576613,110,51324,"14000US41051001201","low"
-122.717728829262,45.5003445571513,110,51324,"14000US41051001201","low"
-122.717777829353,45.5003335569942,110,51324,"14000US41051001201","low"
-122.717833828646,45.5002865569945,110,51324,"14000US41051001201","low"
-122.718021828101,45.5000605561457,110,51324,"14000US41051001201","low"
-122.71815882748,45.499887555472,110,51324,"14000US41051001201","low"
-122.718224827437,45.4998175553483,110,51324,"14000US41051001201","low"
-122.718297827221,45.4997505552913,110,51324,"14000US41051001201","low"
-122.718803825788,45.4994435524669,110,51324,"14000US41051001201","low"
-122.71900382644,45.4993345520248,110,51324,"14000US41051001201","low"
-122.719239826204,45.4992295509467,110,51324,"14000US41051001201","low"
-122.719588825743,45.4991175497517,110,51324,"14000US41051001201","low"
-122.719956825322,45.4990345483848,110,51324,"14000US41051001201","low"
-122.720247825892,45.4989735474625,110,51324,"14000US41051001201","low"
-122.72039382645,45.4989625469603,110,51324,"14000US41051001201","low"
-122.720518826573,45.4989605462393,110,51324,"14000US41051001201","low"
-122.720617826951,45.4989755455514,110,51324,"14000US41051001201","low"
-122.721451829434,45.4990675430399,110,51324,"14000US41051001201","low"
-122.722105830265,45.4991515408543,110,51324,"14000US41051001201","low"
-122.722417831666,45.4991975395754,110,51324,"14000US41051001201","low"
-122.722858831551,45.4989825378949,110,51324,"14000US41051001201","low"
-122.723230831285,45.4988305365547,110,51324,"14000US41051001201","low"
-122.72399083019,45.4985195338202,110,51324,"14000US41051001201","low"
-122.724369830811,45.4983675317183,110,51324,"14000US41051001201","low"
-122.724403830257,45.4983585313219,110,51324,"14000US41051001201","low"
-122.724617830149,45.4983045312106,110,51324,"14000US41051001201","low"
-122.724829829965,45.4982635301569,110,51324,"14000US41051001201","low"
-122.72507983068,45.4982325288976,110,51324,"14000US41051001201","low"
-122.72542683175,45.4981895278459,110,51324,"14000US41051001201","low"
-122.725577831983,45.4981885273872,110,51324,"14000US41051001201","low"
-122.725739831425,45.4982055268246,110,51324,"14000US41051001201","low"
-122.725988833013,45.4982475264604,110,51324,"14000US41051001201","low"
-122.726095833305,45.4982715252958,110,51324,"14000US41051001201","low"
-122.726224833359,45.4982825248564,110,51324,"14000US41051001201","low"
-122.726405833397,45.4982715241786,110,51324,"14000US41051001201","low"
-122.726635833641,45.498239523652,110,51324,"14000US41051001201","low"
-122.726889833501,45.4981655232224,110,51324,"14000US41051001201","low"
-122.727222834732,45.4981225217023,110,51324,"14000US41051001201","low"
-122.727802834767,45.4979435196495,110,51324,"14000US41051001201","low"
-122.727841834553,45.4979315190588,110,51324,"14000US41051001201","low"
-122.728824836103,45.4979295153353,110,51324,"14000US41051001201","low"
-122.72909583693,45.4979285146952,110,51324,"14000US41051001201","low"
-122.729221837567,45.4980225140662,110,51324,"14000US41051001201","low"
-122.729555840142,45.4982745137694,110,51324,"14000US41051001201","low"
-122.72971484091,45.4983935135379,110,51324,"14000US41051001201","low"
-122.729828840037,45.4983325125096,110,51324,"14000US41051001201","low"
-122.730598839017,45.4979325090911,110,51324,"14000US41051001201","low"
-122.730689839027,45.4979325096458,110,51324,"14000US41051001201","low"
-122.730991839824,45.4979335084507,110,51324,"14000US41051001201","low"
-122.732213842041,45.4979365035129,110,51324,"14000US41051001201","low"
-122.732828843643,45.497937501615,110,51324,"14000US41051001201","low"
-122.733587845399,45.4979394993187,110,51324,"14000US41051001201","low"
-122.7355138491,45.4979444921418,110,51324,"14000US41051001201","low"
-122.737326852485,45.4979434857708,110,51324,"14000US41051001201","low"
-122.737957853848,45.4979504838024,110,51324,"14000US41051001201","low"
-122.738236853667,45.4979424832734,110,51324,"14000US41051001201","low"
-122.738277853402,45.4979394824232,110,51324,"14000US41051001201","low"
-122.738372854043,45.4979334820476,110,51324,"14000US41051001201","low"
-122.738642855043,45.4979024816901,110,51324,"14000US41051001201","low"
-122.739014855556,45.4978694796709,110,51324,"14000US41051001201","low"
-122.739802855574,45.4978154775146,110,51324,"14000US41051001201","low"
-122.739927854606,45.4976214769707,110,51324,"14000US41051001201","low"
-122.7400358551,45.4974764760333,110,51324,"14000US41051001201","low"
-122.740166854646,45.4973664754724,110,51324,"14000US41051001201","low"
-122.740302853625,45.4972714750495,110,51324,"14000US41051001201","low"
-122.740897852937,45.4969744723196,110,51324,"14000US41051001201","low"
-122.741123852103,45.4968474714276,110,51324,"14000US41051001201","low"
-122.741327852245,45.496709470696,110,51324,"14000US41051001201","low"
-122.741784851079,45.4963384688701,110,51324,"14000US41051001201","low"
-122.741964850042,45.496173467291,110,51324,"14000US41051001201","low"
-122.742284849398,45.4958634657096,110,51324,"14000US41051001201","low"
-122.742701846042,45.4953794642809,110,51324,"14000US41051001201","low"
-122.742895844761,45.4950954627722,110,51324,"14000US41051001201","low"
-122.742994844905,45.4949254627081,110,51324,"14000US41051001201","low"
-122.743129843539,45.4946514617894,110,51324,"14000US41051001201","low"
-122.743189842609,45.4945074616588,110,51324,"14000US41051001201","low"
-122.7432288413,45.49441146069,110,51324,"14000US41051001201","low"
-122.743302840351,45.4941894608247,110,51324,"14000US41051001201","low"
-122.743336840183,45.4940884606185,110,51324,"14000US41051001201","low"
-122.743421838505,45.4937464594719,110,51324,"14000US41051001201","low"
-122.743459836566,45.4935124593292,110,51324,"14000US41051001201","low"
-122.743472835383,45.4934154592319,110,51324,"14000US41051001201","low"
-122.743539834168,45.4931274585802,110,51324,"14000US41051001201","low"
-122.743568834346,45.4930294581153,110,51324,"14000US41051001201","low"
-122.743641832562,45.4928604576646,110,51324,"14000US41051001201","low"
-122.743792831122,45.4925494570314,110,51324,"14000US41051001201","low"
-122.743791832283,45.492774457316,110,51324,"14000US41051001201","low"
-122.743794833289,45.4928624572138,110,51324,"14000US41051001201","low"
-122.743794836964,45.4935514583944,110,51324,"14000US41051001201","low"
-122.743794840687,45.4941324583134,110,51324,"14000US41051001201","low"
-122.743796842903,45.4943954586569,110,51324,"14000US41051001201","low"
-122.743797844072,45.494659459738,110,51324,"14000US41051001201","low"
-122.743798845867,45.4949054598529,110,51324,"14000US41051001201","low"
-122.743802852843,45.4959844608087,110,51324,"14000US41051001201","low"
-122.743803853743,45.4962574617947,110,51324,"14000US41051001201","low"
-122.743803856296,45.4965444620817,110,51324,"14000US41051001201","low"
-122.743807862913,45.4976124632481,110,51324,"14000US41051001201","low"
-122.743802875757,45.499816466209,110,51324,"14000US41051001201","low"
-122.743801877563,45.5000374665268,110,51324,"14000US41051001201","low"
-122.743800879078,45.5003674660846,110,51324,"14000US41051001201","low"
-122.743798882616,45.5009314662748,110,51324,"14000US41051001201","low"
-122.743794891029,45.5023954666316,110,51324,"14000US41051001201","low"
-122.743793891916,45.5026424658024,110,51324,"14000US41051001201","low"
-122.743793891939,45.5027284662833,110,51324,"14000US41051001201","low"
-122.743791898094,45.5038504666904,110,51324,"14000US41051001201","low"
-122.743783904669,45.5050114662844,110,51324,"14000US41051001201","low"
-122.74378490492,45.5051164661568,110,51324,"14000US41051001201","low"
-122.743792908721,45.5056464667294,110,51324,"14000US41051001201","low"
-122.743799913346,45.5066324660692,110,51324,"14000US41051001201","low"
-122.743801915504,45.5068554660681,110,51324,"14000US41051001201","low"
-122.743803915943,45.5070164662755,110,51324,"14000US41051001201","low"
-122.743803916178,45.5071084663391,110,51324,"14000US41051001201","low"
-122.743803918465,45.5073684667092,110,51324,"14000US41051001201","low"
-122.743810919485,45.5075224666468,110,51324,"14000US41051001201","low"
-122.743810919713,45.5076504666406,110,51324,"14000US41051001201","low"
-122.743808920136,45.5077644665072,110,51324,"14000US41051001201","low"
-122.743811920814,45.5078804661156,110,51324,"14000US41051001201","low"
-122.743813922092,45.508130466009,110,51324,"14000US41051001201","low"
-122.743813923031,45.5081754659126,110,51324,"14000US41051001201","low"
-122.743826924348,45.5084684666866,110,51324,"14000US41051001201","low"
-122.743821924993,45.5085544665623,110,51324,"14000US41051001201","low"
-122.743818925299,45.5086984663752,110,51324,"14000US41051001201","low"
-122.743824928947,45.5093934667541,110,51324,"14000US41051001201","low"
-122.743826930724,45.5095764662771,110,51324,"14000US41051001201","low"
-122.743837936636,45.5106534663956,110,51324,"14000US41051001201","low"
-122.761808003391,45.5195524130748,111,122222,"14000US41051001202","normal"
-122.764463005565,45.5195564058986,111,122222,"14000US41051001202","normal"
-122.76446400773,45.5198714057285,111,122222,"14000US41051001202","normal"
-122.764470018815,45.52181840635,111,122222,"14000US41051001202","normal"
-122.764474021775,45.5225144061911,111,122222,"14000US41051001202","normal"
-122.764474026304,45.5231454070046,111,122222,"14000US41051001202","normal"
-122.764476028749,45.52377740714,111,122222,"14000US41051001202","normal"
-122.764478032329,45.5244084070397,111,122222,"14000US41051001202","normal"
-122.76448203716,45.5251954073937,111,122222,"14000US41051001202","normal"
-122.764482039107,45.5255504070514,111,122222,"14000US41051001202","normal"
-122.764483040241,45.5258034073442,111,122222,"14000US41051001202","normal"
-122.764484042891,45.5262024069382,111,122222,"14000US41051001202","normal"
-122.764485045415,45.5267314069138,111,122222,"14000US41051001202","normal"
-122.764479050657,45.5275034078685,111,122222,"14000US41051001202","normal"
-122.764476052159,45.5278184075138,111,122222,"14000US41051001202","normal"
-122.76447105436,45.5281604078139,111,122222,"14000US41051001202","normal"
-122.764468057617,45.5287404076648,111,122222,"14000US41051001202","normal"
-122.764465059887,45.5291774076176,111,122222,"14000US41051001202","normal"
-122.76445706274,45.5297214077376,111,122222,"14000US41051001202","normal"
-122.764453065911,45.5303034083263,111,122222,"14000US41051001202","normal"
-122.764441069909,45.5309924086943,111,122222,"14000US41051001202","normal"
-122.764439069873,45.5310784080036,111,122222,"14000US41051001202","normal"
-122.764438071488,45.5311784087622,111,122222,"14000US41051001202","normal"
-122.76442907375,45.5316614087477,111,122222,"14000US41051001202","normal"
-122.764427074802,45.5318434084935,111,122222,"14000US41051001202","normal"
-122.76442007668,45.5321904086848,111,122222,"14000US41051001202","normal"
-122.764408080304,45.5329024091315,111,122222,"14000US41051001202","normal"
-122.764404081976,45.5331474084909,111,122222,"14000US41051001202","normal"
-122.764395085786,45.5338154092144,111,122222,"14000US41051001202","normal"
-122.765007086474,45.533835407231,111,122222,"14000US41051001202","normal"
-122.765076085787,45.5338384068963,111,122222,"14000US41051001202","normal"
-122.76549808712,45.5338374063718,111,122222,"14000US41051001202","normal"
-122.766089086946,45.5338344043743,111,122222,"14000US41051001202","normal"
-122.76670408744,45.5338324031596,111,122222,"14000US41051001202","normal"
-122.76988708913,45.5338273954069,111,122222,"14000US41051001202","normal"
-122.770808089202,45.5338293929198,111,122222,"14000US41051001202","normal"
-122.771329090521,45.5338303917914,111,122222,"14000US41051001202","normal"
-122.771651090294,45.5338313909349,111,122222,"14000US41051001202","normal"
-122.771891090388,45.533831390692,111,122222,"14000US41051001202","normal"
-122.772065090683,45.5338293902216,111,122222,"14000US41051001202","normal"
-122.772217089994,45.533831390095,111,122222,"14000US41051001202","normal"
-122.772356090009,45.5338293889425,111,122222,"14000US41051001202","normal"
-122.772717090913,45.5338323882988,111,122222,"14000US41051001202","normal"
-122.773143090999,45.5338323869502,111,122222,"14000US41051001202","normal"
-122.773993092143,45.5338363852702,111,122222,"14000US41051001202","normal"
